id,name,date,genre,rating,minute,actors,theme
1000001,Barbie,2023,Comedy|Adventure,3.86,114,Margot Robbie|Ryan Gosling|America Ferrera|Ariana Greenblatt|Issa Rae|Kate McKinnon|Alexandra Shipp|Emma Mackey|Hari Nef|Sharon Rooney|Ana Cruz Kayne|Ritu Arya|Dua Lipa|Nicola Coughlan|Emerald Fennell|Simu Liu|Kingsley Ben-Adir|Ncuti Gatwa|Scott Evans|John Cena|Michael Cera|Rhea Perlman|Helen Mirren|Will Ferrell|Connor Swindells|Jamie Demetriou|Andrew Leung|Will Merrick|Zheng Xi Yong|Asim Chaudhry|Ray Fearon|Erica Ford|Hannah Khalique-Brown|Mette|Marisa Abela|Lucy Boynton|Rob Brydon|Tom Stourton|Chris Taylor|David Mumeni|Olivia Brody|Isla Ashworth|Eire Farrell|Daisy Duczmal|Genvieve Toussaint|Isabella Nightingale-Mercado|Millie-Rose Crossley|Anvita Nehru|Kayla-Mai Alvares|Luke Mullen|Patrick Luwis|Mac Brandt|Paul Jurewicz|Oraldo Austin|Benjamin Arthur|Carlos Jacott|Adam Ray|George Basil|Ptolemy Slocum|Deb Hiett|James Leon|Oliver Vaquer|Tony Noto|Christopher T. Wood|Ann Roth|Annie Mumolo|Elise Gallup|McKenna Roberts|Brylee Hsu|Sasha Milstein|Lauren Holt|Sterling Jones|Ryan Piers Williams|Jamaal Lewis|Kathryn Akin|Grace Jabbari|Ira Mandela Siobhan|Lisa Spencer|Naomi Weijand|Tom Clark|Ireanne Abenoja|Davide Albonetti|Charlotte Anderson|Michael Anderson|Rico Bakker|James Bamford|William John Banks|Callum Bell|Adam Blaug|Mason Boyce|Taylor Bradshaw|Alex Brown|Miekaile Browne|Lewis Calcutt|Nikkita Chadha|Oliver Chapman|Megan Charles|Callum Clack|Danny Coburn|Kat Collings|Adam Crossley|Sia Dauda|Gustave Die|Grace Durkin|Joelle Dyson|Lewis Easter|Onyemachi Ejimofor|Cameron Everitt|Luke Field-Wright|Sasha Flesch|Adam Fogarty|Michael John French|Anna-Kay Gayle|Charlie Goddard|Marlie Goddard|Ellis Harman|Yasmin Harrison|Josh Hawkins|James Healy|Tim Hodges|Mira Jebari|Beccy Jones|Thomas Kalek|Lily Laight|Maiya Leeke|Cristian Liberti|Prodromos Marneros|Nahum McLean|Jordan Melchor|Ramzan Miah|Andy Monaghan|Florivaldo Mossi|Hannah Nazareth|Grant Neal|Freja Nicole|Shaun Niles|Ella Nonini|Jack William Parry|Josie Pocock|Barnaby Quarendon|Redmand Rance|Zara Richards|Liam Riddick|Alana Rixon|Adam Paul Robertson|Kingdom Sibanda|Sebastian Skov|Aaron J. Smith|Joshua Smith|Lucia-Rose Sokolowski|Janine Somcio|Alex Sturman|Callum Sterling|Todd Talbot|Charles Tatman|Grant Thresh|Connor Tidman|Wahchi Vong|Jerry Wan|Sasha Wareham|Stan West|Oliver Wheeler|Josh Wild|Joe Wolstenholme|Richard Womersley|Ashley Young|Naomi Watts,Humanity and the world around us|Crude humor and satire|Moving relationship stories|Emotional and captivating fantasy storytelling|Surreal and thought-provoking visions of life and death|Quirky and endearing relationships|Amusing jokes and witty satire|Laugh-out-loud relationship entanglements
1000002,Parasite,2019,Comedy|Thriller|Drama,4.56,133,Song Kang-ho|Lee Sun-kyun|Cho Yeo-jeong|Choi Woo-shik|Park So-dam|Lee Jung-eun|Jang Hye-jin|Park Myung-hoon|Jung Ji-so|Jung Hyeon-jun|Park Keun-rok|Jung Yi-seo|Cho Jae-myung|Jeong Ik-han|Kim Kyu-baek|Ahn Seong-bong|Yoon Young-woo|Park Jae-wook|Lee Dong-yong|Jeon Eun-mi|Kim Geon|Lee Joo-hyung|Lee Ji-hye|Kim Bo-ryeong|Park Hye-sook|Baek Seung-hwan|Riccardo Ferraresso|Ko Kwan-jae|Lee Si-hoon|Seo Bok-hyeon|Shim Soo-mi|Yoon Hye-ree|Andreas Fronk|Anna Elisabeth Rihlmann|Rosie Peralta|Shin Seung-min|Park Seo-jun|Kwak Sin-ae|Choi Jeong-hyun|Kim Ha-eon|Lee Eun-hee|Choi Ji-won|Park Jae-wan|Hwang In-gyeong|Kim Yeong-jo|Kim Jung-woo|Lee Sang-kyung|Lee Si-hoo|Ahn Jin-sang,Humanity and the world around us|Intense violence and sexual transgression|Twisted dark psychological thriller|Heartbreaking and moving family drama|Enduring stories of family and marital drama|Touching and sentimental family stories|Intense political and terrorist thrillers
1000003,Everything Everywhere All at Once,2022,Science Fiction|Adventure|Comedy|Action,4.3,140,Michelle Yeoh|Ke Huy Quan|Stephanie Hsu|James Hong|Jamie Lee Curtis|Jenny Slate|Harry Shum Jr.|Tallie Medel|Biff Wiff|Sunita Mani|Aaron Lazar|Brian Le|Andy Le|Neravana Cabral|Chelsey Goldsmith|Craig Henningsen|Anthony Molinari|Dan Brown|Anthony N.|Cara Marie Chooljian|Randall Archer|Efka Kvaraciejus|Peter Banifaz|Audrey Wasilewski|Li Jing|Dylan Henry Lau|Boon Pin Koh|Timothy Eulich|Daniel Scheinert|Michiko Nishiwaki|Jane Lui|Jason Hamer|Timothy Ralston|Hiroshi Yada|Randy Newman|Amanda MacLeod,"Humanity and the world around us|Moving relationship stories|Crude humor and satire|Surreal and thought-provoking visions of life and death|Touching and sentimental family stories|Powerful stories of heartbreak and suffering|Quirky and endearing relationships|Dreamlike, quirky, and surreal storytelling"
1000004,Fight Club,1999,Drama,4.27,139,Edward Norton|Brad Pitt|Helena Bonham Carter|Meat Loaf|Jared Leto|Zach Grenier|Holt McCallany|Eion Bailey|Richmond Arquette|David Andrews|George Maguire|Eugenie Bondurant|Christina Cabot|Sydney 'Big Dawg' Colston|Rachel Singer|Christie Cronenweth|Tim DeZarn|Ezra Buzzington|Dierdre Downing-Jackson|Bob Stephenson|Charlie Dell|Rob Lanza|David Lee Smith|Joel Bissonnette|Evan Mirand|Robby Robinson|Lou Beatty Jr.|Thom Gossom Jr.|Valerie Bickford|Peter Iacangelo|Carl Ciarfalio|Stuart Blumberg|Todd Peirce|Mark Fite|Matt Winston|Joon Kim|Bennie Moore|Lauren S������nchez|Pat McNamara|Tyrone R. Livingston|Owen Masterson|David Jean Thomas|Paul Carafotes|Christopher John Fields|Anderson Bourell|Scotch Ellis Loring|Michael Shamus Wiles|Andi Carnick|Ed Kowalczyk|Leonard Termo|Van Quattro|Markus Redmond|Michael Girardin|Michael Arturo|Greg Bronson|Matt Cinquanta|Paul Dillon|Eddie Hargitay|Phil Hawn|Bruce Holman|Jawara|Baron Jay|Jim Jenkins|Kevin Scott Mack|Trey Ore|Louis Ortiz|Hugh Peddy|J.T. Pontino|Chad Randau|regory Silva|Brian Tochi|Michael Zagst|Marc Cinquanta|Summer Moore,"Intense violence and sexual transgression|Humanity and the world around us|Challenging or sexual themes & twists|Dreamlike, quirky, and surreal storytelling|Twisted dark psychological thriller|Surreal and thought-provoking visions of life and death|Graphic violence and brutal revenge"
1000005,La La Land,2016,Drama|Comedy|Music|Romance,4.09,129,Ryan Gosling|Emma Stone|John Legend|Rosemarie DeWitt|J.K. Simmons|Ami������e Conn|Terry Walters|Thom Shelton|Cinda Adams|Callie Hernandez|Jessica Rothe|Sonoya Mizuno|Claudine Claudio|Jason Fuchs|D.A. Wallach|Trevor Lissauer|Olivia Hamilton|Anna Chazelle|Marius de Vries|Finn Wittrock|Josh Pence|Nicole Coulon|Damon Gupton|Christopher Michael Stevens|Keith Harris|Kaveh Rastegar|David Douglas|Miles Anderson|Bobo Chang|Meagen Fay|John Hindman|Valarie Rae Miller|Nicole Wolf|Corrin Evans|Kiff VandenHeuvel|Tom Everett Scott|Hemky Madera|Zo������ Hall|Dempsey Pappion|Clifton 'Fou Fou' Eddie|Cal Bennett|Nedra Wheeler|Javier Gonzalez|Khirye Tyler|Briana Lee|Shaylah J. Stevens|Natalie Imani|Camryn Ray Cavaliero|Sandra Rosko|Arthur Horowitz|Reshma Gajjar|Candice Coke|Hunter Hamilton|Damian Gomez|Amanda Balen|Lou Becker|Dominic Chaiduang|Cindera Che|Chris Moss|Marissa Labog|Tiffany Daniels|Melinda Sullivan|Stephanie Landwehr|Britt Stewart|Clarice Ordaz|Nathan Prevost|Mecca Vazie Andrews|Scott Hislopah Mitchell|Khasan Brailsford|Morgan Larson|Becca Sweitzer|Gakenia Muigai|Michael Stein|Mario Diaz|Julie Schmid|Samantha Abrantes|Lexie Contursi|Eartha Robinson|Sybil Azur|Tara Nicole Hughes|Kayla Kalbfleisch|Martha Nichols|Anthony Marciona|Bill Prudich|Robert Roldan|Ryan Novak|Demian Boergadine|Gustavo Vargas|Robert Haynes|Doran Butler|Matt Cady|Carol Connors|Patrick Cook|Aaron 'Deuce' Cooke|Bubba Dean Rambo|Nick Drago|Shaun Evaristo|Dana Fukagawa|Daniel Gaymon|Liz Imperio|Casey Johansen|Cris Judd|Yoori Kim|Bradley M. Rapier|Dana Wilson|Terrance Yates|Tracy Shibata|Dominique Domingo|Asiel Hardison|Corey Anderson|Nick Baga|Leah Adler|Noel Bajandas|Denzel Chisolm|Montana Efaw|Natalie Gilmore|Shannon Holtzapffel|Galen Hooks|Jeremy Hudson|George Lawrence Jr.|Scott Myrick|Cassidy Noblett|Brittany Parks|V������ctor Rojas|Tony Bellissimo|Ryan Ramirez|Catalina Cat Rendic|Bryan Tanaka|Ava Bernstine-Mitchell|Quinn Lipton|Monie Adamson|Matthew Aylward|McKenzie Anderson|Pamela Chu|Mallauri Esquibel|Michael Hosz|Matthew Kazmierczak|Paul Kirkland|Megan Lawson|Michael Munday|Brandon O'Neal|Chelsea Thedinga|Danny Valle|Emily Williams|Jesse Houk|Tommy Cooley|Kristin Slaysman|Melvin LaThomas Brimm|Ana Flavia Gavlak|Tommy Otis|Noah James|Ottavio Taddei|Destinee Handly|Steffen Dziczek|Vince Donvito|Kelly Kennedy|Patty Tobin|Crystal Nichol|Kaye L. Morris|Trent Kerpsack|Jeremy Nathan Tisser|Holly Houk|Andrea Lareo|April Martucci|Heather Turman|Clarence Robinson|Jenna Curtis|Dapo Torimiro|Jordan Ray Fox|Morgan Cohen|Anna Lunberry|Christopher Aber|Margaret Newborn|Sasha Fine|C.J. Stussi|Cameron Brinkman|Kristin Elliott|Nadia Tumanova|Eren Kayak������ran|Ali Arda ������zdeniz|Phillip E. Walker|Susie Ganiere|Lynn Moore|Nilla Elizabeth Watkins|Andres Perez-Molina|Shannon Leann|Milica Govi,Song and dance|Humanity and the world around us|Moving relationship stories|Dazzling vocal performances and musicals|Captivating relationships and charming romance|Dance rhythms and catchy tunes|Emotional life of renowned artists|Charming romances and delightful chemistry
1000006,Oppenheimer,2023,Drama|History,4.23,181,Cillian Murphy|Emily Blunt|Matt Damon|Robert Downey Jr.|Florence Pugh|Josh Hartnett|Casey Affleck|Rami Malek|Kenneth Branagh|Benny Safdie|Jason Clarke|Dylan Arnold|Tom Conti|James D'Arcy|David Dastmalchian|Dane DeHaan|Alden Ehrenreich|Tony Goldwyn|Jefferson Hall|David Krumholtz|Matthew Modine|Scott Grimes|Kurt Koehler|John Gowans|Macon Blair|Harry Groener|Gregory Jbara|Ted King|Tim DeKay|Steven Houska|Petrie Willink|Matthias Schweigh������fer|Alex Wolff|Josh Zuckerman|Rory Keane|Michael Angarano|Emma Dumont|Sadie Stratton|Britt Kyle|Guy Burnet|Tom Jenkins|Louise Lombard|Michael Andrew Baker|Jeff Hephner|Olli Haaskivi|David Rysdahl|Josh Peck|Jack Quaid|Brett DelBuono|Gustaf Skarsg������rd|James Urbaniak|Trond Fausa Aurv������g|Devon Bostick|Danny Deferrari|Christopher Denham|Jessica Erin Martin|Ronald Auguste|M������t������ Haumann|Olivia Thirlby|Jack Cutmore-Scott|Harrison Gilbertson|James Remar|Will Roberts|Pat Skipper|Steve Coulter|Jeremy John Wellhristina Hogue|Clay Bunker|Tyler Beardsley|Maria Teresa Zuppetta|Kate French|Gary Oldman|Hap Lawrence|Meg Schimelpfenig,"Humanity and the world around us|Politics and human rights|Epic history and literature|Intense political and terrorist thrillers|Riveting political and presidential drama|Surreal and thought-provoking visions of life and death|Dangerous technology and the apocalypse|Political drama, patriotism, and war"
1000007,Interstellar,2014,Science Fiction|Drama|Adventure,4.35,169,Matthew McConaughey|Anne Hathaway|Michael Caine|Jessica Chastain|Casey Affleck|Wes Bentley|Topher Grace|Mackenzie Foy|Ellen Burstyn|John Lithgow|Bill Irwin|David Gyasi|Timoth������e Chalamet|Matt Damon|Josh Stewart|Leah Cairns|Liam Dickinson|Francis X. McCarthy|William Devane|Andrew Borba|Elyes Gabel|David Oyelowo|Collette Wolfe|Jeff Hephner|Russ Fega|Lena Georgas|Brooke Smith|Griffen Fraser|Flora Nolan|Kristian Van der Heyden|William Patrick Brown|Benjamin Hardy|Joseph Oliveira|Alexander Michael Hel,"Monsters, aliens, sci-fi and the apocalypse|Humanity and the world around us|Moving relationship stories|Imaginative space odysseys and alien encounters|Action-packed space and alien sagas|Thought-provoking sci-fi action and future technology|Humanity's odyssey: earth and beyond|Surreal and thought-provoking visions of life and death"
1000008,Joker,2019,Crime|Drama|Thriller,3.85,122,Joaquin Phoenix|Robert De Niro|Zazie Beetz|Frances Conroy|Brett Cullen|Shea Whigham|Bill Camp|Glenn Fleshler|Leigh Gill|Josh Pais|Rocco Luna|Marc Maron|Sondra James|Murphy Guyer|Douglas Hodge|Dante Pereira-Olson|Carrie Louise Putrello|Sharon Washington|Hannah Gross|Frank Wood|Brian Tyree Henry|April Grace|Mick Szal|Carl Lundstedt|Michael Benz|Ben Warheit|Gary Gulman|Sam Morril|Chris Redd|Mandela Bellamy|Demetrius Dotson II|Greer Barnes|Ray Iannicelli|Bryan Callen|Peter Hans Benson|Vito Gerbino|Adam Quezada|Xavyer Ure������a|Evan Rosado|Damian Emmanuel|Mike Troll|Jane Fergus|David Gibson|Tony D. Head|Jeff McCarthy|Kim Brockington|Troy Roberts|Lou Young|Michael-Scott Druckenmiller|Craig Austin|John Cenatiempo|Danny Schoch|Keith Buterbaugh|James Ciccone|Rich Campbell|Roger Squitero|Steven Elson|Graham Mabry|John Alldred|Alonzo Wright|Jack Wilkins|Richard Baratta|Mary Kate Malat|Adrienne Acevedo Lovette|Justin Theroux|Alissa Bourne|Jamaal Burcher|John Cashin|Jason John Cicalese|Brendan Patrick Connor|Dennis Jay Funny|James P. Harkins|Joseph Hernandez|Ben Heyman|Graham Maby|Jesse Schratz|Isabella Ferreira|Shade Rupe,"Intense violence and sexual transgression|Moving relationship stories|Humanity and the world around us|Crime, drugs and gangsters|Powerful stories of heartbreak and suffering|Gripping, intense violent crime|Challenging or sexual themes & twists|Emotional and captivating fantasy storytelling|Graphic violence and brutal revenge"
1000009,Dune,2021,Science Fiction|Adventure,3.9,155,Timoth������e Chalamet|Rebecca Ferguson|Oscar Isaac|Jason Momoa|Josh Brolin|Stellan Skarsg������rd|Stephen McKinley Henderson|Javier Bardem|Sharon Duncan-Brewster|Chang Chen|Dave Bautista|David Dastmalchian|Zendaya|Charlotte Rampling|Babs Olusanmokun|Benjamin Cl������mentine|Souad Faress|Golda Rosheuvel|Roger Yuan|Seun Shote|Neil Bell|Oliver Ryan|Stephen Collins|Charlie Rawes|Richard Carter|Benjamin Dilloway|Elmi Rashid Elmi|Tachia Newall|Gloria Obianyo|Fehinti Balogun|Dora K������polnai-Schvab|Joelle|Jimmy Walker|Paul Bullion|Milena S,"Epic heroes|Monsters, aliens, sci-fi and the apocalypse|Action-packed space and alien sagas|Thought-provoking sci-fi action and future technology|Superheroes in action-packed battles with villains|Imaginative space odysseys and alien encounters|Emotional and captivating fantasy storytelling"
1000010,Pulp Fiction,1994,Crime|Thriller,4.26,154,John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Ving Rhames|Harvey Keitel|Eric Stoltz|Tim Roth|Amanda Plummer|Maria de Medeiros|Quentin Tarantino|Christopher Walken|Rosanna Arquette|Peter Greene|Duane Whitaker|Angela Jones|Phil LaMarr|Steve Buscemi|Bronagh Gallagher|Laura Lovelace|Frank Whaley|Burr Steers|Paul Calderon|Jerome Patrick Hoban|Michael Gilden|Gary Shorelle|Susan Griffiths|Eric Clark|Joseph Pilato|Brad Blumenthal|Lorelei Leslie|Emil Sitka|Brenda Hillhouse|Chandler Lindauer|Sy Sher|Robert Ruth|Rich Turner|Don Blakely|Carl Allen|Karen Maruyama|Kathy Griffin|Venessia Valentino|Linda Kaye|Stephen Hibbert|Alexis Arquette|Julia Sweeney|Lawrence Bender|Cie Allman|Rene Beard|Lori Pizzo|Glendon Rich|Devan Richardson|Ani Sava|Richard Rossi,"Crime, drugs and gangsters|Intense violence and sexual transgression|Humanity and the world around us|Crude humor and satire|Gritty crime and ruthless gangsters|Violent action, guns, and crime|Heists and thrilling action|Graphic violence and brutal revenge|Brutal, violent prison drama"
